website,country,company,description,location
http://www.2cimple.com,United States,2Cimple,"Get your Free Account at our booth, website or Facebook!About 2Cimple: 2Cimple is a cloud-based, self-service video platform that enables brands, agencies and publishers Advertising, Live Branded Content, Shopping, Gaming and Brand Activation solutions for mobile, social and web.Our dynamic canvas HTML5 ad formats increase viewability, engagement, leads, one-click commerce, as well as, minimizing impression and click fraud from bots enabling more than 5x higher engagements compared to industry standards through our unique campaigns. Recent campaigns include, SHARP, Colgate, Total, Cadbury, Paramount Pictures, etc. resulting between 1-4% CTR.Our simple-to-use platform consists of an ad studio, campaign management and analytics/reporting engine. In just a few minutes using drag & drop tools you can create unique IAB and Facebook newsfeed ad formats. Deliver your brand’s messages via ad tags for programmatic within IAB formats through DSPs, Facebook newsfeeds, premium publishers around their video content, and in mobile apps.The platform offers unique analytics for viewability, engagements, fraud detection, etc. in addition to the industry standard KPIs.We keep it 2Cimple. To learn more about 2Cimple, visit http://www.2cimple.com or email us at:Media Contact:           Marla Watson, Director of MarketingMarla.Watson@2cimple.com(469) 361-6656 office (817)999-5701 mobile    Copyright 2014, a2z, Inc. All rights reserved.","Richardson, TX"
www.4cinsights.com,United States,4C,"Copyright 2014, a2z, Inc. All rights reserved.","Chicago, IL"
http://www.7search.com,United States,7Search.com,"7Search is a PPC Search Engine Advertising Network.The top 3 reasons advertisers choose 7Search.com: Quality traffic - Our Fraud Detection Methodology has been a top priority and point of concentration since our inception in 1999. We have turned down known traffic providers due to poor quality. We want to provide the highest ROI possible, even if that means having a lower search volume.    Customer Support – 7Search’s dedication to client relations is second to none.  We are experts at pay per click and want you to be too.  We spend a great deal of time with every new advertiser to educate them on how to best create campaign tiles, descriptions and keyword bids and will continue to be that support system for the duration of the relationship.   Transparent & Lower Cost Per Customer Acquisition – We want you to know what you are paying to gain a new prospect.  And that amount shouldn’t be unattainable.  Advertisers will know exactly what to bid for a click to their website making it simple to determine how much to budget.  Plus, our tools are easy and intuitive to us.    Take advantage of 7Search’s network to drive new traffic to your online business today!Copyright 2014, a2z, Inc. All rights reserved.","Des Plaines, TX"
http://99designs.com/go/adtech,United States,99designs,"99designs is excited to be a part of ad:tech San Francisco!99designs, the world’s largest graphic design marketplace, has helped over 300,000 businesses access quality design at an affordable price.99designs pioneered crowdsourced design contests, where businesses receive a wide variety of design concepts and choose their favorite, and expanded to provide services for customers to work with individual designers, purchase design templates from the ready-made logo store, or get small tasks done within an hour through Tasks. With more than 1 million designers from 250 countries around the world, 99designs’ suite of services helps businesses succeed through great design created by a robust community of talented graphic designers. Brands: www.99designs.com 
Copyright 2014, a2z, Inc. All rights reserved.","Oakland, CA"
http://www.acquisio.com,Canada,Acquisio,"Thanks for checking Acquisio, the PPC Management SoftwareAcquisio is a high-powered performance media solution that enables digital marketers to optimize their search campaigns and report on all PPC initiatives including social, mobile, and display, all in one easy-to-use dashboard.Acquisio’s best-in-class technology is enhanced by the company’s outstanding support team of real people: Account Managers, Account Analysts, and the Acquisio Trading Desk.The comprehensive and user-friendly Acquisio model ensures campaign managers maintain full control over every aspect of their online marketing initiatives, while maximizing their productivity.With more than 500 agencies and 25,000+ advertisers in its portfolio, Acquisio is recognized as being one of the fastest growing companies in North America. Acquisio software is used by companies like GroupM, Sensis, Hanapin Marketing, iRep, Yellow Pages, Microsoft, and Hilton.With its headquarters in Montreal, Acquisio has offices in New York, Seattle, London, and Tokyo.Copyright 2014, a2z, Inc. All rights reserved.","Brossard, QC"
http://www.activeprospect.com,United States,ActiveProspect,"Our mission at ActiveProspect is to help companies efficiently and safely scale their lead generation campaigns. We allow marketers to automate their unique processes for acquiring qualified sales leads and building accurate email subscriber lists. We process millions of leads per month on behalf of some of the world’s biggest brands. Unlike standalone data verification and enhancement services, ActiveProspect enables users to combine unlimited services in a single integration and create complex rules-based lead flows. Founded in 2004, ActiveProspect is headquartered in Austin, Texas.  Learn more at www.activeprospect.com. Brands: LeadConduit, TrustedForm, SuppressionListCopyright 2014, a2z, Inc. All rights reserved.","Austin, TX"
http://www.ad.net,United States,ad.net,"Ad.net is one of the largest, most trusted, and highly regarded advertising platforms. Our network provides advertisers a variety of ad formats, enhanced exposure, increased reach, and improved conversion. Each month, Ad.net reaches 100 million prospective customers through a network of 100+ traffic sources. Ad.net offers an assortment of channels to reach potential customers. Ad.net ensures all campaigns receive the highest quality traffic.Copyright 2014, a2z, Inc. All rights reserved.","Los Angeles, CA"
http://www.adbeat.com,United States,Adbeat,"Adbeat is a competitive intelligence service that will allow you to dominate your market with display advertising.  View competitors winning ad copy, best website placements, and landing pages. See what your competitors are doing on over 80 ad networks, direct buys, and in 14 countries. Find your competitor’s advertising strategy at a glance on 100,000+ websites. Adbeat competitive intelligence helps you to spend smarter.Copyright 2014, a2z, Inc. All rights reserved.","San Francisco, CA"
http://www.adforce.com,United States,ADFORCE,"Adforce.com provides digital marketing services to brands looking to speak to premium audiences across mobile, tablet and desktop.Providing exclusive access to New York’s premium digital display network of over 700 premium newspaper publishers. Reaching targeted local community and ethnic audiences across the state on mobile, tablet and desktop inventory.Our media planning and campaign management teams ensure your message engages your target audience.Our award winning creative development team build innovative and engaging digital ad creative for leading global and local brands.Founded in 2009 by industry veterans, Adforce.com operates in the United States, and Europe with offices in New Jersey, Ireland and Belgium. Copyright 2014, a2z, Inc. All rights reserved.","Little Ferry, NJ"
http://tryadhawk.com,United States,AdHawk,"AdHawk is the easiest way to manage digital advertising across multiple channels. It aggregates cross-channel advertising data into a single mobile app and web dashboard that updates in real-time and makes intelligent, actionable recommendations based on observed performance.Copyright 2014, a2z, Inc. All rights reserved.","New York, NY"
website,country,company,description,location
